"Indicator","Economy","Unit of Measure","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Definition","Data Coverage","Calendar Year","Base Year","Source","Footnotes"
"Agriculture, forestry, and fishing at current prices","Japan","Japanese Yen","8127000000000","7270400000000","7219400000000","6806500000000","6516700000000","5919600000000","5793200000000","5680600000000","5563800000000","5356800000000","5602700000000","5373800000000","5619600000000","5426400000000","5170500000000","5563900000000","6124000000000","6241100000000","5812600000000","5796400000000","5756100000000","5599100000000","5695600000000","...","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","Economic and Social Research Institute",""
"Agriculture, forestry, and fishing at current prices","Kazakhstan","Kazakhstani Tenge","210872400000","283608800000","301947700000","362603000000","418127200000","483484600000","561329800000","727335800000","853341600000","1045440500000","983994900000","1409038600000","1330033600000","1621232500000","1717786000000","1925866500000","2140007600000","2456284600000","2717499100000","3105560700000","3808889100000","4222766500000","5444727300000","5240555000000","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","Agency for Strategic Planning and Reforms of the Republic of Kazakhstan","For 2011–2023: Estimates are in accordance with the 2008 System of National Accounts, where financial intermediation services indirectly measured are no longer compiled as a notional industry. For 2017–2023: Calculations were made in accordance with the new methodology for assessing the unobserved economy, registered in the Ministry of Justice of the Republic of Kazakhstan No.19215 of 08.08.2019."
"Agriculture, forestry, and fishing at current prices","Kiribati","Australian Dollar","27694034.942088","28326012.964504","29604993.190168","32662080.710754","32004493.938746","29796628.760853","32267563.573522","37443852.685532","43207058.848235","47945304.239248","44475300.74262","48853066.87367","50444889.896954","49452571.075067","56205361.187137","58441180.249011","75178703.183086","90241108.378761","83789861.157675","84208864.04716","86750571.537597","95297391.222992","108371285.84909","...","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","Kiribati National Statistics Office",""
"Agriculture, forestry, and fishing at current prices","Korea, Republic of","Korean Won","25138700000000","25211100000000","25165100000000","24824500000000","26871800000000","25084900000000","25114600000000","24881400000000","24726200000000","27006500000000","28357000000000","30684400000000","31483500000000","31502900000000","32144400000000","33225200000000","32361700000000","33974300000000","33150100000000","32099300000000","34267800000000","38601500000000","35488700000000","35683000000000","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","Bank of Korea","For 2000–2023: Aggregates for GDP were revised as a result of the implementation of the System of National Accounts 2008."
"Agriculture, forestry, and fishing at current prices","Kyrgyz Republic","Kyrgyzstani Som","22344200000","25520100000","25929800000","28199500000","28215100000","28739400000","32638200000","38142400000","44150900000","37750900000","38459300000","47375000000","51706500000","52007600000","58976800000","60530100000","61134600000","66386800000","66477400000","67846900000","77847900000","97169700000","112249300000","118646500000","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","National Statistical Committee of the Kyrgyz Republic",""
"Agriculture, forestry, and fishing at current prices","Lao People's Democratic Republic","Lao Kip","5920207310000","6374047630000","7124487000000","8239247000000","9226842000000","9953421000000","10915082000000","12621353000000","13889289000000","14510778000000","16052857000000","17628847000000","15137393990000","16830923850000","19062026550000","20622377400000","22275193220000","22800912900000","23943492100000","26106653160000","28504826820000","29510909790000","38438932350000","55754982540000","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","Lao Statistics Bureau (formerly Department of Statistics)",""
"Agriculture, forestry, and fishing at current prices","Malaysia","Malaysian Ringgit","30647000000","28245000000","34432000000","38971000000","43949000000","44912000000","51383000000","66446000000","76753000000","65719000000","82882000000","104424000000","95122000000","92830000000","98177000000","97538943000","105755903000","117995008000","108756528000","109542091000","115833555000","148300685000","159803494000","141154722000","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","Department of Statistics",""
"Agriculture, forestry, and fishing at current prices","Maldives","Maldivian Rufiyaa","...","684000000","715000000","715266308.98583","876910236.9439","1150784199.3813","1329753068.5283","1474463802.0694","1999236735.4775","1626916162.0438","1866508330.2551","2181779010.1729","2301796244.4632","2741008513.8109","3018024231.8695","3511400000","3814700000","3906400000","4262000000","3958300000","4325600000","4287300000","4675000000","...","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","National Bureau of Statistics (formerly Ministry of National Planning, Housing & Infrastructure)","For 2001–2022: Data are at basic prices."
"Agriculture, forestry, and fishing at current prices","Marshall Islands","US Dollar","9244380","9076420","8511500","9005940","9593440","9826760","10120210","11052700","12911920","14474410","17058780","23943690","32222010","29569410","22390850","22823230","25687540","33837280","35819360","42414230","48138480","64643130","53380300","55056740","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Ending 30 September","","Economic Policy, Planning, and Statistics Office (formerly Office of Planning and Statistics)","For 2000–2021: Excludes shore-based fish processing and vessel support services."
"Agriculture, forestry, and fishing at current prices","Micronesia, Federated States of","US Dollar","56248628.623156","55521023.173409","56302199.028868","56846102.106287","52712679.149889","56092962.610191","56610705.427828","64114647.25593","68905769.368948","70086655.95781","73584455.350535","82559962.071074","92573586.923488","84301300.703409","79702077.973082","82754749.114616","90204000.533569","101247596.16279","89019041.069451","93181750.375289","100918563.70249","114409597.20835","115905402.47021","...","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Ending 30 September","","FSM Statistics Division",""
"Agriculture, forestry, and fishing at current prices","Mongolia","Mongolian Tugrik","335668794100","319698929400","293361833500","337272088600","472934459800","602136306100","710609185800","913409227000","1259660832000","1177380290000","1144697860000","1357866800000","1878786370000","2572044900000","2965360500000","3223402719000","3022012541000","3119618177000","3723544317000","4373602539000","4856063000000","5733284283000","7015700273000","7019615091000","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","2000–2009: 2005. 2010–2014: 2010. 2015–2023: 2015.","National Statistics Office of Mongolia",""
"Agriculture, forestry, and fishing at current prices","Myanmar","Myanmar Kyat","1461150000000","2025084000000","3067357000000","3906194000000","4372874000000","5736351000000","7401555000000","10109849000000","11773735000000","12916381000000","14658961000000","15048296000000","15680310000000","17132994000000","18162255000000","19466837000000","19841147700000","20606881500000","21344044400000","22476953700000","23587589600000","24529994200000","...","...","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Beginning 1 April","","Central Statistical Organization",""
"Agriculture, forestry, and fishing at current prices","Nauru","Australian Dollar","...","...","...","...","1876000","2099000","2448000","2605000","2629000","3279000","3280000","3031000","3007000","3570000","4021000","4377000","...","...","...","...","...","...","...","...","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Ending 30 June","","Nauru Bureau of Statistics (Ministry of Finance)","For 2004–2015: Data were taken from the national accounts tables published on the Nauru Bureau of Statistics website."
"Agriculture, forestry, and fishing at current prices","Nepal","Nepalese Rupee","145131000000","155624544400","166090219400","172802578700","186124916300","199368116500","211704430700","226823000000","247191000000","309553067400","395755272000","480326008700","528851123100","557939980100","613093757300","642712775400","665553254300","729269451300","771874940100","832887333300","862517977100","958494774200","1039073436000","1132750857000","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Ending 15 July","","Central Bureau of Statistics","For 2000–2009 and 2011–2023: Estimates of GDP are based on the 2008 SNA where industrial classification is based on the International Standard Industrial Classification of all economic activities, Revision 4 (ISIC Rev.4). For 2010: Estimates of GDP by industrial origin are based on the 1993 System of National Accounts (SNA) framework."
"Agriculture, forestry, and fishing at current prices","New Zealand","New Zealand Dollar","9291000000","10273000000","7912000000","8278000000","8293000000","7361000000","8573000000","11328000000","9495000000","11173000000","13396000000","13388000000","12000000000","16374000000","11591000000","11417000000","15061000000","17196000000","17346000000","18396000000","18742000000","20728000000","...","...","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Beginning 1 April","","Stats NZ Tatauranga Aotearoa","For 2000–2019: Combined to refer to agriculture; forestry and logging; and fishing, aquaculture and agriculture, forestry, and fishing-support services."
"Agriculture, forestry, and fishing at current prices","Niue","New Zealand Dollar","3774000","3723000","3910000","4157000","3962000","4326000","4913000","5316000","5746000","4832004.571","5186987.34","5448511.878","5388962.152","5795789.209","5914894.658","6274090.449","6516858.052","6994445.262","7224507.727","...","...","...","...","...","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Ending 30 June","","Niue Statistics Office","For 2000–2018: Refers to agriculture, hunting, fishing, and forestry. For 2009–2018: A new methodology was used."
"Agriculture, forestry, and fishing at current prices","Pakistan","Pakistan Rupee","1306700000000","1365595000000","1368995000000","1457957000000","1674713000000","1859557000000","1978348000000","2226119000000","2573865000000","3203919000000","3745254000000","4699861000000","5225561000000","5936896000000","6566880000000","7077924000000","7306957000000","7808538000000","8485078000000","9056577000000","10389544000000","12653889000000","14892662000000","19649975000000","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Ending 30 June","","Pakistan Bureau of Statistics (formerly Federal Bureau of Statistics)","For 2000–2015: Data are revised due to 2015/2016 rebasing of national accounts. For 2016–2023: Data are revised due to 2015/2016 rebasing of national accounts."
"Agriculture, forestry, and fishing at current prices","Palau","US Dollar","5817534.164","5879203.693","6222743.71","5962212.589","6478280.874","7798458.391","9144774.355","8013425.69","8496256.451","7792128.799","7515381.893","7799248.278","8273919.315","8993643.18","8666098.27","8591321.861","9306472.656","10078384.31","9971970.768","9558717.312","8572176.924","8066217.926","8180928.497","8426784.149","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Ending 30 September","","Bureau of Budget and Planning (formerly Office of Planning and Statistics)",""
"Agriculture, forestry, and fishing at current prices","Papua New Guinea","Papua New Guinea Kina","3306900000","3577500000","4428000000","4820000000","4549600000","5019900000","5210731521","5550076953","6357594003","6928780481","7598657637","8187183726","8552167168","9191128883","10107544680","10498497210","11619939700","12799757910","13478018180","14233677950","15475958570","17399668950","18835299240","19960000000","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","2000–2022: National Statistical Office. 2023: Departments of Treasury (formerly Department of Finance and Treasury).","For 2006–2022: Compiled using new data sources and methods and are not comparable with estimates prior to 2006. For 2023: Data are taken from the 2024 National Budget Volume 1 of the Department of Treasury of PNG, which provides estimates or projections based on the actual National Accounts data from the NSO."
"Agriculture, forestry, and fishing at current prices","Philippines","Philippine Peso","515479831100","535358116600","585081264000","620436584600","744516252300","799871416400","875217548000","979429739000","1168573140000","1219985178000","1292317800000","1429964593000","1448473368000","1503121566000","1620699915000","1533369156000","1544278525000","1685956186000","1762616497000","1721538720000","1828423603000","1954486610000","2104089860000","2285159160000","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","Philippine Statistics Authority","For 2000–2023: Data are based on the 2018 base year, following the revision and rebasing of the National Accounts of the Philippines series."
"Agriculture, forestry, and fishing at current prices","Samoa","Western Samoa Tala","127734000","124660000","129810000","118816000","143056000","146508000","152141000","188654618.6","198316426.4","198842138.6","156132526.3","155846039.2","158524226.1","183107760.1","156508217.8","178838679","211909259.6","216217698.3","203707148.1","226395212.4","222125185.6","203517267.6","244983219.3","314006193.52379","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","Samoa Bureau of Statistics (formerly Statistical Services Division)","For 2007–2023: The overall system for estimating GDP at current and constant prices underwent methodological changes. These include: (i) update of base year for constant price estimates to 2013; (ii) incorporation of latest benchmarks; (iii) upgrade of the International Standard Industrial Classification (ISIC) classification from ISIC Revision 3.1 to ISIC Revision 4; (iv) increased reliance on summary data from the value-added goods and services tax system; and (v) incorporation of more detailed data on industry level. For a full explanation, see the national accounts report available on the Samoa Bureau of Statistics website at http://www.sbs.gov.ws. For 2009–2023: Refers to agriculture and fishing."
"Agriculture, forestry, and fishing at current prices","Singapore","Singapore Dollars","152600000","132500000","117700000","104000000","108200000","117100000","115400000","116900000","113500000","114900000","118200000","121600000","122700000","132300000","137800000","138100000","139200000","146000000","153200000","165500000","158100000","179200000","182300000","195700000","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","Singapore Department of Statistics","For 2000–2023: Forms part of other goods industries comprising agriculture, fishing, and quarrying."
"Agriculture, forestry, and fishing at current prices","Solomon Islands","Solomon Islands Dollars","...","...","...","1123163355","1244953937","1300790000","1441792049","1639560130","1897016285","1974659085","2351377561","2668294984","2906233932","3156685177","3423770596","3439149071","3776874964","3858111518","4363956594","4323732997","4304854027","4285200000","4312100000","...","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","National Statistics Office","For 2003–2011: No rebalancing had been carried out on estimates from 2003 to 2011, and therefore the GDP series by industry structure for this period do not add up. For 2003–2020: There are changes in basic concepts in line with the changing of the base year to 2012 and a closer consistency with the System of National Accounts 2008. Improvements to methodologies, data sources, concepts, and revisions to benchmark estimates have been implemented. For 2021–2022: SINSO reflected revisions to 2020 and past years arising from methodological improvements and the population census to the current revised GDP estimates. Any methodological changes made for the current measures have been chained to 2020 levels to avoid distorting the growth rates."
"Agriculture, forestry, and fishing at current prices","Sri Lanka","Sri Lankan Rupee","202146000000","215325000000","233615000000","241122000000","262271000000","289906000000","333137000000","418104287500","590113737800","613694379000","599874618200","714143833200","711079688600","787578063900","870721512300","950452282300","930442155700","1069075461000","1165528606000","1154539644000","1291022978000","1548116823000","2044720960000","2288019512000","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Ending 31 December","","Department of Census and Statistics",""
"Agriculture, forestry, and fishing at current prices","Taipei,China","New Taiwan Dollar","208394000000","192257000000","191579000000","186528000000","193527000000","198375000000","199407000000","193556000000","203918000000","216457000000","226177000000","247587000000","247313000000","264418000000","302781000000","298855000000","327502000000","328835000000","312562000000","317772000000","313481000000","310822000000","315121000000","346944000000","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","Directorate-General of Budget, Accounting, and Statistics",""
"Agriculture, forestry, and fishing at current prices","Tajikistan","Tajikistani Somoni","448900000","610400000","750500000","1151900000","1185600000","1527200000","2002600000","2488300000","3517900000","3827000000","4839300000","7167600000","8435700000","8279900000","10692600000","11006400000","11427600000","13069400000","14049800000","16507900000","19050500000","22690700000","27104800000","31769694000","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","Statistical Agency under President of the Republic of Tajikistan","For 2000–2014: Based on the 1993 System of National Accounts. For 2015–2023: Based on the 2008 System of National Accounts."
"Agriculture, forestry, and fishing at current prices","Thailand","Thai Baht","430928000000","458563000000","501502000000","596439000000","646130000000","700096000000","789829000000","848424000000","977725000000","945297000000","1137252000000","1310673000000","1421602000000","1462283000000","1334795000000","1219420000000","1236981000000","1302041000000","1342911000000","1372848000000","1362979000000","1407097000000","1516169000000","1536071000000","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","National Economic and Social Development Council",""
"Agriculture, forestry, and fishing at current prices","Timor-Leste","US Dollar","104306772.1","102914983.2","115839444.9","121990230.3","135706688.1","133653310.9","146140588.9","162824564.4","195565636.9","181464513.4","225737110.3","231028152.4","299382539.6","297568948.8","304716371.3","283511720","279913703.9","271479967.5","276520344.3","287182214.2","283799190.9","312234490.2","327841259.8","...","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","National Institute of Statistics Timor-Leste","For 2019–2020: Oil revenue from the Joint Petroleum Development Area is now included in GDP based on the new Timor-Leste Australia Maritime Boundary Treaty."
"Agriculture, forestry, and fishing at current prices","Tonga","Tongan Pa'anga","65934684.89","64825707.78","72133073.43","85089952.4","95549960.95","90133138.51","92591262.02","99886228.02","96525518.48","101081087.4","116329233.6","129482064.3","132790196.2","133668012.8","130383533.4","143239169.2","154974248.8","171023231.9","183109737.4","228423101.6","199481344.6","174472684.5","183309055.9","...","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Ending 30 June","","Tonga Department of Statistics (formerly Tonga Statistics Department)",""
"Agriculture, forestry, and fishing at current prices","Turkmenistan","Turkmenistan Manat","1177200000","1670000000","1894000000","2271600000","2710000000","3310000000","3826355000","5090800000","5304000000","6058000000","7299000000","7402000000","8520000000","9467000000","10480000000","11653000000","...","...","...","...","...","...","...","...","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Ending 31 December","","2000–2010: United Nations Statistics Division. 2011–2015: State Statistics Committee of Turkmenistan (formerly NISSI).",""
"Agriculture, forestry, and fishing at current prices","Tuvalu","Australian Dollar","4478259.85","4903254.656","5171807.854","5183878.251","5684091.02","5937468.716","6931101.811","7506833.115","7983530.92","8385147.715","9144491.655","9487552.365","9148577.35","9008666.347","9067969.658","9583169.127","6142336.259","6341119.511","6544587.752","6459361.788","6548361.575","7062711.286","8015679.784","...","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","Central Statistics Division",""
"Agriculture, forestry, and fishing at current prices","Uzbekistan","Uzbekistani Sum","978507200000","1476256000000","2244241000000","2801800000000","3242300000000","4192800000000","5298000000000","6550200000000","7673000000000","9200000000000","21251338100000","30658608400000","36954670200000","42636805000000","53613206600000","64680325200000","74778975500000","90983861800000","1.133274104E+14","1.298850239E+14","1.504936598E+14","1.817876572E+14","2.08809227E+14","2.452225363E+14","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Ending 31 December","","Statistics Agency under the President of the Republic of Uzbekistan","For 2010–2023: Data may not be comparable with data prior to 2010 due to improvements in methodology in accordance with international standards."
"Agriculture, forestry, and fishing at current prices","Vanuatu","Vanuatu Vatu","8721900000","8945400000","8870000000","8773000000","9629000000","9611000000","10201000000","11087000000","11981000000","12266000000","12702000000","14373000000","14977000000","15429000000","17540000000","17860000000","18367000000","20278000000","21383000000","22694000000","23996000000","25053000000","...","...","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","Vanuatu Bureau of Statistics",""
"Agriculture, forestry, and fishing at current prices","Viet Nam","Vietnamese Dong","1.08356E+14","1.118581501E+14","1.233827604E+14","1.382844396E+14","1.559924295E+14","1.76402E+14","1.98797E+14","2.32586E+14","3.29886E+14","3.46786E+14","4.2125337E+14","5.7555456E+14","6.5992943E+14","6.8069409E+14","7.3464754E+14","7.5142989E+14","7.7926683E+14","8.1379427E+14","8.6257958E+14","9.0825722E+14","1.01804948E+15","1.069685E+15","1.14160212E+15","1.222578697E+15","...","The gross output of the agriculture sector, less the corresponding value of intermediate consumption. The industrial origin of value-added is determined by ISIC revision 4, where agriculture corresponds to ISIC Section A and includes agriculture, forestry, and fishing. ","From 2000 to 2024","Calendar Year","","General Statistics Office","For 2000–2009: GDP data are based on unreassessed/unreevaluated scale. For 2010–2023: GDP data are based on the reevaluated scale."
"Manufacturing at current prices","Afghanistan","Afghan Afghani","...","...","34288037630","37462427140","43848492860","51149586220","57029600820","86148822400","91879808090","80436757260","90942850380","117170960300","130849944400","130985301900","135888348500","140434429400","50313204920","45382180140","81788081170","103506328800","118773880106.98","115553810400","106264302400","130786113400","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Beginning 21 March","","2002–2015: National Statistics and Information Authority. 2016–2023: Asian Development Bank.","For 2016–2023: There are changes in basic concepts in line with the changing of the base year to 2016 producer's prices and the adoption of the System of National Accounts 2008."
"Manufacturing at current prices","Armenia","Armenian Dram","173646100000","184350900000","205981200000","248719800000","258805600000","303799700000","288140600000","295104300000","303721000000","270676800000","335107600000","399271400000","402103600000","441103100000","466754600000","464325500000","521153400000","591568300000","678235300000","766320600000","763150300000","771304300000","971902100000","1050086400000","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Ending 31 December","","Statistical Committee of the Republic of Armenia","For 2000–2011: Estimates are based on the 1993 System of National Accounts. For 2012–2023: Estimates are based on the 2008 System of National Accounts."
"Manufacturing at current prices","Australia","Australian Dollar","76557000000","77647000000","79760000000","87170000000","93957000000","95554000000","98767000000","101053000000","108454000000","106557000000","104194000000","104486000000","105762000000","101547000000","101819000000","102283000000","100914000000","102042000000","106493000000","109112000000","111536000000","115298000000","125827000000","138018000000","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Ending 30 June","","Australian Bureau of Statistics",""
"Manufacturing at current prices","Azerbaijan","Azerbaijan Manat","249700000","328900000","450500000","617200000","706600000","812400000","1082200000","1413500000","1888700000","1967300000","2011900000","2077200000","2321800000","2452800000","2777800000","2714000000","2978900000","3305500000","3700200000","4097800000","4428400000","5983000000","7078300000","7107800000","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Ending 31 December","","State Statistical Committee of the Republic of Azerbaijan","For 2000–2009: Estimates are based on the 1993 System of National Accounts (SNA). For 2010–2023: Transition to the 2008 SNA began, although a global revision of the GDP and sectoral accounts series according to the 2008 SNA has yet to be fully implemented."
"Manufacturing at current prices","Bangladesh","Bangladeshi Taka","348400000000","382300000000","418000000000","458100000000","515300000000","588000000000","738340310000","876054860000","1013710250000","1161971450000","1285730350000","1465026990000","1679274990000","1971271810000","2232200000000","2544831000000","4223870000000","4666061000000","5490242000000","6259374000000","6530638000000","7496584906000","8644368990000","10033447460000","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Ending 30 June","","Bangladesh Bureau of Statistics","For 2000–2015: Estimates of GDP at current prices used the 2005/2006 base year. For 2016–2023: Estimates of GDP at current prices were rebased using the 2015/2016 base year, reflecting more comprehensive coverage of economic activities and methodological changes."
"Manufacturing at current prices","Bhutan","Bhutanese Ngultrum","1575649673","1830313907","1884708411","2028572607","2234874430","2502282989","3015294729","3925583042","4470850701","4883326316","6155366232","6856802438","8392983588","8544374653","9446124754","10262108550","10789257930","11659835000","15453683270","11811555940","8976386065","14785331260","19881513290","...","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","National Statistics Bureau",""
"Manufacturing at current prices","Brunei Darussalam","Brunei Dollar","1589466310","1578135290","1641041080","1749697210","1767994360","1952487370","1925300000","1916200000","2796100000","2180800000","2786141800","3829583540","3956525480","3735026380","3493970200","2582740750","1804818070","2119954690","2574235880","2499406040","2612188410","3484782850","5089149470","3782860330","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Department of Economic Planning and Statistics",""
"Manufacturing at current prices","Cambodia","Kampuchean Riel","2254750330000","2621605040000","2954743250000","3374191220000","4026718900000","4585465700000","5541435520000","6073772350000","6441056720000","6207565590000","6913174420000","7900171130000","8552038320000","9499896290000","10383625000000","11757744000000","12994787250000","14542280600000","16274905210000","17906740490000","17158338610000","19741815590000","22775215880000","20024487380000","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","National Institute of Statistics",""
